batch,algo,reward,wait,runtime
88,Stable,-0.12205632547681765,134.84458572504636,0.0038289000003715046
89,Stable,-0.2145790949899554,171.7075195072207,0.004466899998078588
90,Stable,-0.41521176415970534,251.64361347698892,0.007389999998849817
91,Stable,-0.03447862899308585,99.95186857808767,0.007635499998286832
92,Stable,-0.31067242764763253,209.99303751871318,0.005138000000442844
93,Stable,-0.3271577297331074,221.3097752618726,0.008011300000362098
94,Stable,-0.08473302012354729,131.38325782747978,0.005203199998504715
95,Stable,-0.28703866469330064,206.4277617593536,0.004299100000935141
96,Stable,-0.2592271769840667,178.5971141819464,0.005265300002065487
97,Stable,-0.007057257668654914,102.0929240380065,0.010247300000628456
98,Stable,-0.5,403.7455305047997,0.0053413999994518235
99,Stable,-0.12593890048213904,176.47074809107323,0.008907899999030633
